iter	Passed	Remaining
0	1	149
1	2	138
2	4	133
3	5	131
4	6	129
5	8	126
6	9	125
7	10	125
8	12	123
9	13	122
10	14	121
11	16	119
12	17	118
13	19	117
14	20	115
15	21	113
16	23	112
17	24	111
18	25	110
19	27	109
20	28	108
21	30	107
22	31	105
23	32	104
24	34	103
25	35	101
26	37	101
27	38	100
28	40	98
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	50	89
36	51	87
37	52	86
38	54	84
39	55	83
40	56	81
41	58	80
42	59	78
43	60	77
44	62	76
45	63	74
46	65	73
47	66	71
48	67	70
49	69	69
50	70	67
51	72	66
52	73	65
53	74	63
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	83	55
60	84	54
61	85	52
62	87	51
63	88	49
64	89	48
65	91	46
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	104	33
76	106	31
77	107	30
78	109	28
79	110	27
80	111	26
81	113	24
82	114	23
83	115	22
84	117	20
85	118	19
86	119	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	128	9
93	129	8
94	131	6
95	132	5
96	133	4
97	135	2
98	136	1
99	137	0
